iter	Passed	Remaining
457	819	969
458	821	967
459	823	966
460	825	964
461	826	962
462	828	961
463	830	959
464	832	957
465	834	955
466	836	954
467	837	952
468	839	950
469	840	948
470	842	945
471	843	944
472	845	941
473	847	940
474	849	938
475	851	936
476	852	935
477	854	933
478	856	931
479	858	929
480	860	928
481	862	926
482	863	924
483	865	922
484	867	921
485	869	919
486	871	917
487	872	915
488	874	914
489	876	912
490	878	910
491	880	908
492	882	907
493	883	905
494	885	903
495	887	901
496	888	899
497	890	897
498	892	895
499	894	894
500	895	892
501	897	890
502	899	888
503	900	886
504	902	884
505	904	883
506	906	881
507	907	879
508	909	877
509	911	875
510	913	874
511	915	872
512	917	870
513	918	868
514	920	867
515	922	865
516	924	863
517	926	861
518	927	859
519	929	858
520	931	856
521	932	854
522	934	852
523	935	850
524	937	848
525	939	846
526	941	844
527	943	843
528	944	841
529	946	839
530	948	837
531	950	835
532	952	834
533	953	832
534	955	830
535	957	828
536	959	826
537	960	825
538	962	823
539	964	821
540	966	819
541	967	817
542	969	816
543	971	814
544	973	812
545	974	810
546	976	809
547	978	807
548	980	805
549	982	803
550	984	802
551	985	799
552	987	797
553	988	795
554	990	794
555	992	792
556	994	791
557	996	789
558	998	787
559	1000	785
560	1001	784
561	1003	782
562	1005	780
563	1007	779
564	1010	777
565	1012	776
566	1014	774
567	1016	773
568	1018	771
569	1020	769
570	1022	768
571	1024	766
572	1026	764
573	1027	762
574	1029	761
575	1031	759
576	1033	757
577	1034	755
578	1036	753
579	1037	751
580	1039	749
581	1041	748
582	1043	746
583	1045	744
584	1046	742
585	1048	740
586	1050	739
587	1052	737
588	1053	735
589	1055	733
590	1057	731
591	1058	729
592	1060	727
593	1062	726
594	1064	724
595	1066	722
596	1067	720
597	1069	719
598	1071	717
599	1073	715
600	1074	713
601	1076	711
602	1078	709
603	1079	708
604	1081	706
605	1083	704
606	1085	702
607	1087	700
608	1089	699
609	1090	697
610	1092	695
611	1093	693
612	1095	691
613	1097	689
614	1099	688
615	1101	686
616	1102	684
617	1104	682
618	1106	680
619	1107	679
620	1109	677
621	1111	675
622	1113	673
623	1115	672
624	1117	670
625	1119	669
626	1122	667
627	1124	665
628	1125	663
629	1127	662
630	1129	660
631	1130	658
632	1132	656
633	1134	654
634	1135	652
635	1137	650
636	1139	649
637	1140	647
638	1142	645
639	1144	643
640	1146	642
641	1148	640
642	1149	638
643	1151	636
644	1153	634
645	1155	633
646	1157	631
647	1159	629
648	1161	627
649	1163	626
650	1164	624
651	1166	622
652	1168	620
653	1169	618
654	1171	617
655	1173	615
656	1175	613
657	1176	611
658	1178	609
659	1179	607
660	1181	606
661	1183	604
662	1185	602
663	1187	600
664	1189	599
665	1191	597
666	1192	595
667	1194	593
668	1196	592
669	1198	590
670	1200	588
671	1202	586
672	1204	585
673	1206	583
674	1208	581
675	1210	580
676	1212	578
677	1214	576
678	1215	574
679	1217	572
680	1219	571
681	1220	569
682	1222	567
683	1224	565
684	1226	563
685	1228	562
686	1229	560
687	1231	558
688	1233	556
689	1235	554
690	1236	553
691	1238	551
692	1240	549
693	1242	547
694	1244	545
695	1245	544
696	1247	542
697	1249	540
698	1251	538
699	1252	536
700	1254	535
701	1255	533
702	1257	531
703	1259	529
704	1261	527
705	1263	526
706	1265	524
707	1267	522
708	1268	520
709	1270	518
